"","Strain Name","Virus Type","Subtype/Genotype (ViPR)","Subtype/Genotype (GenBank)","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"677","PNH2694","Yellow fever virus",NA,"-N/A-","ON022625","10172","-N/A-","12/19/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"678","0869/2018","Yellow fever virus",NA,"-N/A-","ON022727","9884","-N/A-","01/26/2018","Human","Homo sapiens","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"679","2077/17 IV","Yellow fever virus",NA,"-N/A-","ON022420","10172","-N/A-","12/13/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"680","2153/2018","Yellow fever virus",NA,"-N/A-","ON022491","10172","-N/A-","02/09/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"681","2885","Yellow fever virus",NA,"-N/A-","ON022322","10172","-N/A-","01/07/2018","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"682","PNH2402","Yellow fever virus",NA,"-N/A-","ON022626","10172","-N/A-","11/14/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"683","1778/2018","Yellow fever virus",NA,"-N/A-","ON022728","9884","-N/A-","09/02/2018","Human","Homo sapiens","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"684","1204/17 IV","Yellow fever virus",NA,"-N/A-","ON022421","10172","-N/A-","04/11/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"685","0569/2018","Yellow fever virus",NA,"-N/A-","ON022492","10172","-N/A-","01/20/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"686","2918","Yellow fever virus",NA,"-N/A-","ON022323","10172","-N/A-","01/10/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"687","PNH2702","Yellow fever virus",NA,"-N/A-","ON022627","10172","-N/A-","12/12/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"688","0580/2018","Yellow fever virus",NA,"-N/A-","ON022729","10172","-N/A-","01/19/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"689","0927/17 IV","Yellow fever virus",NA,"-N/A-","ON022422","10172","-N/A-","03/25/2017","Unknown","Cebidae","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"690","2498/2018","Yellow fever virus",NA,"-N/A-","ON022493","9884","-N/A-","02/21/2018","Human","Homo sapiens","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"691","2965","Yellow fever virus",NA,"-N/A-","ON022324","10172","-N/A-","01/22/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"692","PNH2707","Yellow fever virus",NA,"-N/A-","ON022628","10172","-N/A-","12/12/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"693","1344/2017","Yellow fever virus",NA,"-N/A-","ON022730","9884","-N/A-","02/14/2017","Human","Homo sapiens","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"694","1975/17 IV","Yellow fever virus",NA,"-N/A-","ON022423","10172","-N/A-","11/29/2017","Monkey","Callithrix penicillata","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"695","2663/2018","Yellow fever virus",NA,"-N/A-","ON022494","9884","-N/A-","02/17/2018","Human","Homo sapiens","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"696","2966","Yellow fever virus",NA,"-N/A-","ON022325","10172","-N/A-","01/21/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"697","PNH2715","Yellow fever virus",NA,"-N/A-","ON022629","10172","-N/A-","12/12/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"698","2081/17 IV","Yellow fever virus",NA,"-N/A-","ON022424","10172","-N/A-","12/21/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"699","1262/2017","Yellow fever virus",NA,"-N/A-","ON022731","10172","-N/A-","05/02/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"700","2334/2018","Yellow fever virus",NA,"-N/A-","ON022495","9884","-N/A-","02/09/2018","Human","Homo sapiens","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"701","2967","Yellow fever virus",NA,"-N/A-","ON022326","10172","-N/A-","01/19/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"702","PNH2725","Yellow fever virus",NA,"-N/A-","ON022630","10172","-N/A-","12/21/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"703","1911/17 IV","Yellow fever virus",NA,"-N/A-","ON022425","10172","-N/A-","10/26/2017","Monkey","Callithrix penicillata","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"704","1330/2017","Yellow fever virus",NA,"-N/A-","ON022732","10172","-N/A-","02/18/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"705","3036","Yellow fever virus",NA,"-N/A-","ON022327","10172","-N/A-","01/31/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"706","1547/2017","Yellow fever virus",NA,"-N/A-","ON022496","10172","-N/A-","02/24/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"707","PNH2728","Yellow fever virus",NA,"-N/A-","ON022631","10172","-N/A-","12/21/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"708","0877/17 IV","Yellow fever virus",NA,"-N/A-","ON022426","10172","-N/A-","03/14/2017","Unknown","Cebidae","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"709","4838/2018","Yellow fever virus",NA,"-N/A-","ON022733","9884","-N/A-","06/04/2018","Monkey","Callithrix","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"710","3217","Yellow fever virus",NA,"-N/A-","ON022328","10172","-N/A-","02/22/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"711","2545/2018","Yellow fever virus",NA,"-N/A-","ON022497","9884","-N/A-","02/21/2018","Human","Homo sapiens","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"712","PNH2731","Yellow fever virus",NA,"-N/A-","ON022632","10172","-N/A-","12/20/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"713","2042/17 IV","Yellow fever virus",NA,"-N/A-","ON022427","10172","-N/A-","12/03/2017","Monkey","Alouatta guariba clamitans","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"714","2075/2017","Yellow fever virus",NA,"-N/A-","ON022734","10172","-N/A-","06/03/2017","Monkey","Callithrix","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"715","0913/2018","Yellow fever virus",NA,"-N/A-","ON022498","9884","-N/A-","01/25/2018","Human","Homo sapiens","Brazil","genomic RNA",9884,0.9884,">90%","South America","Brazil"
"716","2968","Yellow fever virus",NA,"-N/A-","ON022329","10172","-N/A-","01/16/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"717","PNH2743","Yellow fever virus",NA,"-N/A-","ON022633","10172","-N/A-","12/22/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"718","0614/17 IV","Yellow fever virus",NA,"-N/A-","ON022428","10172","-N/A-","03/02/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"719","5884/2017","Yellow fever virus",NA,"-N/A-","ON022735","10172","-N/A-","06/06/2017","Monkey","Callithrix","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"720","2497/2018","Yellow fever virus",NA,"-N/A-","ON022499","10172","-N/A-","02/21/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"721","2971","Yellow fever virus",NA,"-N/A-","ON022330","10172","-N/A-","01/19/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"722","PNH2399","Yellow fever virus",NA,"-N/A-","ON022634","10172","-N/A-","11/07/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"723","1193/17 IV","Yellow fever virus",NA,"-N/A-","ON022429","10172","-N/A-","04/18/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"724","ARB1019","Yellow fever virus",NA,"-N/A-","ON022736","10172","-N/A-","01/16/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"725","2176/2018","Yellow fever virus",NA,"-N/A-","ON022500","10172","-N/A-","02/19/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"726","2972","Yellow fever virus",NA,"-N/A-","ON022331","10172","-N/A-","01/19/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"727","PNH1830","Yellow fever virus",NA,"-N/A-","ON022635","10172","-N/A-","07/20/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"728","1015/17 IV","Yellow fever virus",NA,"-N/A-","ON022430","10172","-N/A-","03/21/2017","Black Howler","Alouatta caraya","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"729","4580/2018","Yellow fever virus",NA,"-N/A-","ON022457","10172","-N/A-","04/03/2018","Monkey","Callithrix","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"730","1954","Yellow fever virus",NA,"-N/A-","ON022663","10172","-N/A-","09/01/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"731","1527/2017","Yellow fever virus",NA,"-N/A-","ON022528","10172","-N/A-","02/12/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"732","1537/2018","Yellow fever virus",NA,"-N/A-","ON022458","10172","-N/A-","02/05/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"733","PNH2302","Yellow fever virus",NA,"-N/A-","ON022664","10172","-N/A-","09/25/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"734","1994/2017","Yellow fever virus",NA,"-N/A-","ON022529","10172","-N/A-","03/16/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"735","3634/2018","Yellow fever virus",NA,"-N/A-","ON022459","10172","-N/A-","03/13/2018","Monkey","Callithrix","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"736","PNH2294","Yellow fever virus",NA,"-N/A-","ON022665","10172","-N/A-","11/06/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"737","3851/2018","Yellow fever virus",NA,"-N/A-","ON022530","10172","-N/A-","01/25/2018","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"738","4271/2017","Yellow fever virus",NA,"-N/A-","ON022460","10172","-N/A-","04/17/2017","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"739","PNH2811","Yellow fever virus",NA,"-N/A-","ON022666","10172","-N/A-","12/11/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"740","0231/2017","Yellow fever virus",NA,"-N/A-","ON022531","10172","-N/A-","01/20/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"741","0253/2017","Yellow fever virus",NA,"-N/A-","ON022461","10172","-N/A-","01/24/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"742","PNH2799","Yellow fever virus",NA,"-N/A-","ON022667","10172","-N/A-","12/20/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"743","5046/2018","Yellow fever virus",NA,"-N/A-","ON022462","10172","-N/A-","04/13/2018","Monkey","Callithrix","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"744","0404/2017","Yellow fever virus",NA,"-N/A-","ON022532","10172","-N/A-","01/29/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"745","PNH3552","Yellow fever virus",NA,"-N/A-","ON022668","10172","-N/A-","03/20/2018","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"746","1821/2018","Yellow fever virus",NA,"-N/A-","ON022533","10172","-N/A-","02/11/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"747","PNH3555","Yellow fever virus",NA,"-N/A-","ON022669","10172","-N/A-","03/26/2018","Unknown","Callicebus","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"748","0766/2018","Yellow fever virus",NA,"-N/A-","ON022534","10172","-N/A-","02/27/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"749","PNH2890","Yellow fever virus",NA,"-N/A-","ON022670","10172","-N/A-","01/06/2018","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"750","0277/2017","Yellow fever virus",NA,"-N/A-","ON022535","10172","-N/A-","01/26/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"751","PNH2888","Yellow fever virus",NA,"-N/A-","ON022671","10172","-N/A-","01/06/2018","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"752","0273/2017","Yellow fever virus",NA,"-N/A-","ON022536","10172","-N/A-","01/25/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"753","PNH2887","Yellow fever virus",NA,"-N/A-","ON022672","10172","-N/A-","01/07/2018","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"754","0760/2017","Yellow fever virus",NA,"-N/A-","ON022537","10172","-N/A-","02/06/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"755","PNH3557","Yellow fever virus",NA,"-N/A-","ON022673","10172","-N/A-","03/14/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"756","0725/2017","Yellow fever virus",NA,"-N/A-","ON022538","10172","-N/A-","01/27/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"757","PNH3560","Yellow fever virus",NA,"-N/A-","ON022674","10172","-N/A-","03/19/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"758","1123/2017","Yellow fever virus",NA,"-N/A-","ON022539","10172","-N/A-","02/10/2017","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"759","PNH3565","Yellow fever virus",NA,"-N/A-","ON022675","10172","-N/A-","03/10/2018","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"760","CP6","Yellow fever virus",NA,"-N/A-","ON022540","10172","-N/A-","03/11/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"761","PNH5475","Yellow fever virus",NA,"-N/A-","ON022676","10172","-N/A-","04/16/2019","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"762","CP12","Yellow fever virus",NA,"-N/A-","ON022541","10172","-N/A-","03/28/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"763","PNH1019","Yellow fever virus",NA,"-N/A-","ON022677","10172","-N/A-","04/10/2017","Unknown","Sapajus","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"764","CP13","Yellow fever virus",NA,"-N/A-","ON022542","10172","-N/A-","03/28/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"765","PNH140","Yellow fever virus",NA,"-N/A-","ON022678","10172","-N/A-","-N/A-","Monkey","Alouatta","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"766","CP16","Yellow fever virus",NA,"-N/A-","ON022543","10172","-N/A-","04/11/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"767","PNH1045","Yellow fever virus",NA,"-N/A-","ON022679","10172","-N/A-","03/31/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"768","CP18","Yellow fever virus",NA,"-N/A-","ON022544","10172","-N/A-","04/15/2018","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"769","PNH1041","Yellow fever virus",NA,"-N/A-","ON022680","10172","-N/A-","04/06/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"770","CP20","Yellow fever virus",NA,"-N/A-","ON022545","10172","-N/A-","01/15/2019","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"771","PNH1038","Yellow fever virus",NA,"-N/A-","ON022681","10172","-N/A-","04/10/2017","Unknown","Callicebus","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"772","CP21","Yellow fever virus",NA,"-N/A-","ON022546","10172","-N/A-","01/15/2019","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"773","PNH733","Yellow fever virus",NA,"-N/A-","ON022682","10172","-N/A-","03/17/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"774","CP22","Yellow fever virus",NA,"-N/A-","ON022547","10172","-N/A-","01/18/2019","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"775","PNH772","Yellow fever virus",NA,"-N/A-","ON022683","10172","-N/A-","03/17/2017","Primate","Non-human primate","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"776","CP23","Yellow fever virus",NA,"-N/A-","ON022548","10172","-N/A-","01/19/2019","Human","Homo sapiens","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
"777","PNH713","Yellow fever virus",NA,"-N/A-","ON022684","10172","-N/A-","03/16/2017","Unknown","Sapajus","Brazil","genomic RNA",10172,1.0172,">90%","South America","Brazil"
